step,x,y,loss
0,2.8,1.0,32.839999999999996
1,2.500000000535714,0.70000000006,18.50000000477857
2,2.300195269985381,0.5279612967692926,12.259476552220947
3,2.143448352423632,0.40886700161997114,8.773676464850219
4,2.0121218033476564,0.32070932544595115,6.6199959372069515
5,1.8980938816712867,0.25332657344573695,5.207119203981931
6,1.7968398665733563,0.20091971446684012,4.2378517976432715
7,1.7055345147573715,0.1597478042709936,3.5468320052637545
8,1.6222734543171695,0.12720588460409207,3.036304587529901
9,1.5457002917652574,0.1013891456216098,2.646183363210202
10,1.4748078004473273,0.08086020988188525,2.338517386813847
11,1.4088231776718754,0.06451223150006441,2.088828446273428
12,1.3471376451683779,0.05148172797485824,1.881039042911735
13,1.2892611002185228,0.041089431778986524,1.7044027196346756
14,1.2347917189589095,0.03279813220387614,1.5516035261110719
15,1.1833948966416727,0.02618151623372985,1.417560276204982
16,1.1347882429228988,0.020900538798463764,1.2986651693276923
17,1.0887306319220107,0.016685184109093493,1.1922942731041595
18,1.0450140436050903,0.013320220878832126,1.0964900584383837
19,1.0034573734458365,0.010633990009480728,1.0097537439108604
20,0.9639016595811633,0.008489534397008214,0.9309082142002704
21,0.9262063500375575,0.006777558625423621,0.8590065853729209
22,0.8902463459009851,0.005410829285067561,0.79327048322886
23,0.8559096320824304,0.004319715119003158,0.733047796759215
24,0.8230953590794018,0.0034486319185309863,0.6777832966907871
25,0.7917122751384807,0.002753207064126258,0.6269978303333983
26,0.7616774337027344,0.002198017241535747,0.5802732950068357
27,0.7329151193378666,0.001754783063331593,0.5372415537440232
28,0.7053559486760482,0.0014009281102139114,0.49757607932193765
29,0.6789361127693556,0.0011184287281923292,0.4609855172928643
30,0.6535967346066208,0.0008928958596874692,0.4272086230638437
31,0.6292833211089953,0.0007128420724718004,0.39601020182147406
32,0.6059452931640269,0.0005690964175793988,0.36717779507595105
33,0.583535580528327,0.00045433729432373105,0.34051893430195695
34,0.5620102709709471,0.00036271952004686045,0.315858833813093
35,0.541328305021961,0.0002895766049902443,0.29303843018320325
36,0.5214512092644463,0.00023118306549388938,0.27191269978359767
37,0.5023428623601225,0.00018456466790866364,0.25234920296707697
38,0.4839692890018865,0.00014734693751756284,0.23422681547499147
39,0.4662984777951308,0.00011763421606483111,0.2174346163392758
40,0.44930021972564815,9.391310761694181e-05,0.20187090793731025
41,0.432945964407028,7.497539475971117e-05,0.18744234862907705
42,0.41720869173934994,5.985649888305393e-05,0.17406318203287138
43,0.40206279697283204,4.778635005193401e-05,0.16165454979799804
44,0.3874839874698705,3.815016404559565e-05,0.1501438769314262
45,0.3734491897084094,3.045712876679155e-05,0.13946432048478488
